question,answer,tag
Why continue investing through SIPs in a volatile market?,"When the markets turn volatile many investors start doubting their investment decisions and think of stopping their SIPs or withdrawing their investments. It’s natural to get worried when you see your investments in red during a volatile market. But it would be wise to stay put with your SIPs especially during a falling market because with the same amount of monthly investments you will end up buying more units. We all love to bargain shopping be it during an online sale or simply at the sabzi shop. Isn’t it? Then why not for our Mutual Fund investments when prices are falling?

The market is more unpredictable than even our weather forecast apps. You can never time yourself perfectly to invest a lumpsum amount when the market falls. What if the market falls further after you’ve invested? Similarly, you cannot time yourself perfectly to sell at a market high because the market may go up further after you’ve sold. If you try to catch the market, you will be grossly disappointed, and your returns can be affected due to wrong timing. Hence it is better to invest regularly through highs and lows of the market by investing through a SIP with a clear focus on your goals. You need not worry about market volatility since the cost of your investments will average out over a period. ",More about Mutual Fund
Does long term mean less risk?,"Investments in Mutual Funds require the appropriate time horizon. Having the right time horizon, not only provides a better chance of getting expected, investment returns, but also lowers the risk in the investment.

Now what is this “risk” we are talking about? In simple terms, it is volatility of investment performance, as well as chances of eroding investment capital. By staying invested over the long term, some years of low/negative returns and some years of impressive returns will make the average returns quite reasonable. Therefore, the investor can ‘average out every year’s widely fluctuating returns’ to get a more stable long term return.

The recommended time horizon, differs for every asset class as well as Mutual Fund category. Please consult a financial expert and read the scheme-related documents before making an investment decision.",More about Mutual Fund
What is the risk of investing in Mutual Funds?,"We have all heard: “Mutual Fund investments are subject to market risks.” Ever wondered what are these risks?

The image on the left talks about the various types of risks.

Not all risks impact all the fund schemes. The Scheme Information Document (SID) helps understand which risks apply to your selected scheme.

So how does the fund management team manage these risks?

It all depends on what type of investments the Mutual Fund has invested in. Certain securities are more sensitive to certain risks and some are exposed to some other.

Professional help, diversification and SEBI’s regulations help mitigate risks in Mutual Funds.

Finally, and the most important question that many investors have asked: Can a Mutual Fund company run away with my money? This is just not possible given the structure of Mutual Funds as well as the strong regulations.",More about Mutual Fund
How do Mutual Funds help manage risk?,"Risks appear in many forms. For example, if you own a share of a company, there is a Price Risk or a Market Risk or a Company Specific Risk. The share of just that company may dip or even crash due to any of the above reasons or even a combination of these reasons.

However, in a Mutual Fund, a typical portfolio holds many securities, thus offering “diversification”. In fact, diversification is one of the biggest benefits of investing in a Mutual Fund. It ensures that the dip in price of one or even a few securities does not affect portfolio performance alarmingly.

Another important risk to bear in mind is Liquidity Risk. What is liquidity? It is the ease in converting an asset into cash. Suppose an investor has an investment that is locked in for say 10 years, and she requires money in the 3rd year. This presents a typical liquidity problem. Her priority at this point is access to cash and not returns. Mutual Funds by regulation and structure, offer tremendous liquidity. Portfolios are designed to offer an investor, ease of investing and redemption.",More about Mutual Fund
Understand Risk in Debt Mutual Funds,"You’ve lent 5 lakhs to your friend who owns a start-up @8% interest (higher than current bank rate of 7%). Even though you’ve known him for years, you still run the risk that he may not return your money on time or may fail to pay back. Also, the bank rate may rise to 8.5% while you are stuck with 8%.

Likewise, Debt Funds invests your money in an interest-bearing securities like bonds and money market instruments. These securities promise to make regular interest payments to these funds. Hence Debt Funds are prone to three major risks like you when you lend money to friends.

Firstly, since these funds invest in interest-bearing securities, their NAV fluctuate with changing interest rates (interest rate risk). Prices of these funds fall when interest rates rise and vice-versa.
Secondly, these funds are subject to credit risk i.e. the risk of not receiving the regular payments from the underlying securities (e.g. bonds) they have invested in.
In the worst-case scenario, these funds can face default risk where the bond issuer fails to make the promised payment. When a bond in the underlying portfolio of a Debt Funds defaults in its payments, this impacts the interest income component of the fund thereby adversely affecting your total return from the fund.",More about Mutual Fund
How safe are Direct Mutual Fund platforms to invest in?,"There are many fintech companies that offer Direct Mutual Fund investment platforms either for free or for a fee. Most of these platforms are registered with SEBI, thus well-regulated and governed by security and privacy guidelines mandated by SEBI. Today even Fortune 500 companies can get hacked and similarly so can Mutual Fund platforms. However, it is highly unlikely.

Since most of the Direct platforms are currently owned by startups which haven’t been around for long, there may be a possibility that some of them close down or get acquired by bigger entities. But you shouldn’t worry about your investments made through these registered platforms even if they stop existing in the future because the money invested by you goes into the Mutual Fund’s account and the Fund has a SEBI recognized Registrar to keep an account of your investments .

You can always approach the fund house to access your investments. Choose a Direct Platform if you like its user experience, fees, the services it offers, and if the founding team inspires confidence. Don’t worry about its future and your investments made through them. They will always remain safe with the fund houses.",More about Mutual Fund
What costs does one incur while redeeming Mutual Fund units?,"Open-ended Mutual Funds allow investors to redeem their units after certain period at no cost. If an investor wishes to redeem his/her units before this stipulated period, an exit load is levied. Mutual funds charge exit load if investors sell their investments before having completed a specified time in the fund. This is meant to discourage investors with short-term goals from investing into funds that require long-term holding period. Liquid funds usually don’t have an exit load.

Exit loads are charged as a percentage of the NAV if units are redeemed before a given time as mentioned in the Scheme Information Document. Say, a scheme has 1% exit load if investment is redeemed before one year. If the NAV of the scheme is INR 100 and you redeem your holding before a year, you will receive only INR 99 per unit of your holding as 1% will be deducted by the fund house for premature redemption.

You’ll also incur capital gains tax depending on the kind of investments you’ve made and for how long did you hold the investment i.e Short-term or Long-term capital gains tax. Equity-oriented fun transactions are also subject to STT (Securities Transaction Tax). Every time you buy or sell units from these funds, you pay STT that adds up to the cost of your transaction.",More about Mutual Fund
How to start investing in Mutual Fund schemes?,"Investing in Mutual Funds has now become so easy and simple that one can think of investing in any number of funds without much additional documentation. First-time Mutual Fund investors need to complete their KYC which is a one-time process. You can either approach a distributor or investment advisor to help you complete the KYC verification or you could do e-KYC online. KYC is like a key to the world of Mutual Funds. Once you’ve completed your KYC, you can choose to invest in any fund without going through further verification for each investment.

Once you are ready to invest after KYC verification, you can choose to invest with the help of a mutual fund distributor, registered investment advisor, stock market broker, bank or any other financial intermediary. But if you wish to invest on your own, you can either visit the nearest office of the fund house or visit their website to make an online investment or through any online platform.  

The choice between whether to invest directly or invest through a distributor is an individual one. If you are someone who likes to manage his/her investments on your own, you can surely invest online either through the fund’s website or through any online platform. But if you like to seek advice or need help in investing, you can invest through an intermediary like a distributor, investment advisor, bank etc. ",More about Mutual Fund
"Diversify risk, for potential rewards","Risks could be controlled. And Mutual Funds can be rewarding!

When we say “RISK” in investments, a few questions immediately arise in the mind of the investor… “Is my money safe?”  ”How much return will I get?” “Will I get my money back when I want it?”… While, all these are very valid questions, let’s look at them from three angles to understand Mutual Funds better

Professional Fund Management - Mutual funds are managed by professional fund managers and as an investor, you benefit from their research and expertise. While this may not completely eliminate risk, it certainly lowers it.

Diversification – Mutual Funds invest in a basket of securities. Diversification helps in minimizing the risk from a specific security’s under-performance.

Select a Scheme In Line With Your Investment Objective - If the time horizon of the investment is in sync with the fund selected, you protect yourself from very short term fluctuations. For example, if you have invested in an Equity Fund, you may be affected by short term fluctuations, but over a longer term, you would be more likely to get the long term returns associated with equities.

Most people believe that Mutual Funds are risky possibly because of the standard disclaimer they come across in the Mutual Fund advertisements. It’s important to remember that the stringent regulations that ensure investor protection, professional fund management and diversification mitigate it to a large extent.",More about Mutual Fund
Why is nomination important in Mutual Funds and what is the process for it?,"You may have many goals and dreams in life. You invest your hard-earned money to fulfil those dreams and aspirations. You may also invest to help your loved ones achieve their dreams—both during your life and in your absence.

Everyone has certain goals in life, some dreams to achieve. Every goal also needs some planning and not to forget, finance. One invests their hard-earned money to fulfil those dreams and aspirations, their own as well as their near and dear ones.

Life can be full of surprises. One would expect that after his/her demise, logically, you’re their investments would pass on automatically to their partner, or children. But in real life, it may not be an easy or seamless process. Let’s take the example of Rajiv Gupta to understand why.

Rajiv Gupta had created four different portfolios, one for his goals, one for his wife’s financial security, and the remaining to fund his children’s education. His Mutual Fund SIPs were also planned accordingly.

Luckily, Rajiv Gupta was wise enough to assign a nominee to each of his portfolios. With one simple step, i.e. nomination, Rajiv ensured that the portfolios will be transferred to the rightful nominee and his purpose is fulfilled in case of any eventuality.

Mutual Funds Nominations

Nomination is a simpler and inexpensive way to make things easy for one’s near and dear ones to claim the money in their mutual fund folio, demat account or bank account expeditiously, through minimal paper after their death.

A nomination in respect of the Units does not create an interest in the property after the death of the Unit holder. The rights in the Units will vest in the nominee(s) only upon the death of all Unit Holders. It may be noted that a nominee may not necessarily acquire any title or beneficial interest in the property by virtue of this nomination. The nominee(s) shall receive the Units only as an agent and trustee for the legal heirs or legatees as the case may be.

Is Nomination mandatory for Mutual Funds?

Nomination is mandatory for MF investors. With effect from October 1, 2022, new investors subscribing to Mutual Fund units would have to compulsorily assign a nominee or fill a declaration form to opt out of nomination. Existing investors too would have to either assign a nominee in their older investments or opt out of nomination by March 31, 2023. This is applicable irrespective of whether the investment is held individually or jointly. 

How to add nominees to Mutual Funds investments?

You can add or update the nominees in your Mutual Fund holding by submitting a physical request at the nearest AMC/RTA branch. Alternatively, it can also be done online on the AMC/RTA website or on mfcentral.com. Login to your account and choose the folio under which you want to add/update nominees. Fill in the nominee details like name and address along with the percentage of ownership each nominee will get. If no percentage is specified, each nominee will be eligible for an equal percentage. You will then receive an OTP as part of the two-factor authentication to verify the nominee updation request. Alternatively, the digital form can be signed using the e-Sign facility.

If you are not comfortable online, you can visit the nearest branch or Investor Service Center, of the Fund House to add/update nominee details in your folio. All you need to do is submit a written application or fill up the relevant section of the Common Application Form. You will need to specify the account/folio where you need to add/update nominees and the names of the nominees. In case of more than one nominee in an account/folio, you need to specify the percentage allocation of your investments between all the nominees. Also, in case of joint holding, all the unit holders will have to sign the form with their wet signatures.

Last words

Remember, if an investor doesn’t specify a nominee in his/her account or choose to opt out of nomination, the investments can only be claimed by the legal heir(s) of the investor after proving their legal heirship. This, however, can be a long-run process. Hence, it is advisable to have nominee/s in all your mutual fund investments to enable a smooth transfer of assets in case of an unfortunate event.

So get all your Mutual Fund investment accounts updated with Nominee details and save your family from the hassle of proving their legal heirship to claim your investments in case of an unfortunate event.",More about Mutual Fund
How do I choose a Mutual Fund?,"Imagine asking a travel agent, “How should I choose my mode of transport?” The first thing he/she will say is, “Depends on where you want to go.” If I were to travel to a distance of 5 kms, an auto rickshaw might be the best option, while for a journey from New Delhi to Kochi, a flight might be the best. A flight would not be available for a short distance and an auto rickshaw would be highly uncomfortable and slow for a long-distance journey.

In Mutual Funds too, the starting point must be- What are your requirements?

It begins with your financial goals and risk appetite.

You’ve got to identify your financial goals, first. Some Mutual Fund schemes are suitable for short term requirements or goals, whereas some might be better for long term goals.

Next comes your risk appetite. Different people would have different risk appetite. Even husband and wife may have joint finances but different risk profiles. Some are comfortable with high risk products, whereas some are just not.

You can get help from financial experts like investment advisors or Mutual Fund distributors to assess your risk appetite.",More about Mutual Fund
How to deal with rumours while investing?,"How often have you come across people you know who have lost money in the stock market because they couldn’t guess where the market would go next moment or who made money because they knew where the market was headed next? Even the best market analysts can’t predict with absolute precision how the market will move the very next moment because financial markets are driven by sentiments and market sentiments are driven by market news. 

An investor today has easy access to market news that may be factually correct or could be a rumour or mere speculation. While investment decisions based on factually correct news may yield positive results, investment decisions based on rumours or speculations can cause loss to investors. 

According to Behavioural Finance Theory, investors are irrational by nature i.e their investment behaviour is not backed by thorough research and analysis but rather influenced by various cognitive and emotional biases including herd mentality. Hence, any incorrect market information can fuel panic amongst investors leading to huge erosion of investor wealth.

Then how can an investor hold himself steady when the market is flooded with all kinds of news ranging from verified ones to rumours? This is where Mutual Fund investments can come to the rescue of millions of small investors who lack the capability and resources to carry out extensive research and analysis. Investing in mutual funds helps circumvent all the above problems as professional fund managers take care of the investment decisions on your behalf. Also, mutual fund investments held over a long period of time help you tide over short-term fluctuations caused by market volatility that is many times fueled by market rumours.

Fund managers have a team of research analysts who carry out extensive research based on all public information to evaluate each security before taking a decision to buy, hold or sell it.  You can always reach out to your SEBI registered financial advisor or mutual fund distributor for guidance in case you come across some market news regarding any security in the fund’s portfolio or about the fund that sounds worrisome.",More about Mutual Fund
If Mutual Funds diversify risk then why are they considered risky?,"Mutual Funds invest in securities, be it equity or debt, whose values fluctuate along with market movement. This makes them risky because NAV of the fund depends on the individual security values held in the fund’s portfolio. But since mutual funds invest in securities across different sectors, they diversify this market risk. Since a fund invests in many securities, the risk that all of them will go down in value on any day is reduced. Thus, it is true that mutual funds diversify risk, but they don’t eliminate it. The diversification followed by a fund manager reduces the market risk of the fund to the extent of diversification. The more diversified a fund is, the less risky it is. 

Concentrated funds like thematic or sector funds are riskier than multi-cap funds will impact all the companies of the affected sector in some way or the other while in a multi-cap fund, the diversification across sector and capitalization works like an airbag during a car accident, reducing the impact of the unfavourable condition on the fund’s NAV.

When you invest in Mutual Funds, look at the degree of diversification in the fund’s sector allocation. Depending on your risk-taking ability, choose a fund with the right kind of diversification that’ll suit you.
",More about Mutual Fund
Why should one not be bothered by volatility in mutual funds?,"During a long drive, do you worry about your speed or the destination and how to get there? Obviously, you don’t count the bumps but focus on reaching your destination safely in time. The same goes with Mutual Funds. You shouldn’t worry about the daily NAV fluctuations but rather focus on whether it is taking you closer to the financial goal in the time you have set for it.

During the drive, there are numerous times when your speed drops to near zero, but the vehicle picks up speed once you get over the bump and continue your journey. At the end of the trip, what matters is the average speed you clocked to reach your destination. Similarly, a mutual fund can have numerous bumps in the short-term but the longer you stay invested, the impact of these fluctuations decrease and your chances of earning a positive return goes up just like your car’s average speed during a long trip. 

Every economy and hence market go through periods of growth and recession which impact your fund’s return but only in the short-term. Over the long-term, your fund would have gone through several such bouts of ups and downs, but their impact would be muted because it’s the long-term compounded total return that will count at the end of your investment journey. ",More about Mutual Fund
What is Rupee Cost Averaging?,"When you drive around the city, sometimes you find an empty stretch and speed up to 80kmph while at other times you have to slow down to 20kmph due to traffic or a speed breaker. Finally, you end up clocking an average speed of say 45kmph or 55kmph depending on how often you had to slow down or speed up.

Just like the average speed of your drive through the city, that is neither too fast not too slow, investing in Mutual Funds through SIPs help to navigate the highs and lows of the market with ease. We all know, it is impossible to time the market. Hence an investor can never perfectly time the market highs/lows to buy/sell his or her investments. In such a scenario, a disciplined approach to investing can help investors achieve better control over the impact of market volatility.

When you invest a fixed amount in a mutual fund regularly on pre-defined dates every month over a long period of time, market volatility has less bearing on your investments. This is because you end up buying more units with the same amount when markets fall and buy fewer units with the same amount when markets rise. Thus, the average unit cost of the total units held by you tends to fall over time even if the market moves either way during this period. This is the essence of rupee cost averaging in SIPs.

If you continue with your SIP investments over a long period of time like five years or even longer, if the market has gained, the average cost of units tends to be lower than the prevailing NAV.

SIPs make rupee cost averaging benefits possible apart from offering the power of compounding. Power of compounding becomes more effective over a longer holding period since your investments get more time to multiply further and help in building wealth without pinching your wallet too much.
",More about Mutual Fund
How can I invest in Mutual Funds directly?,"You can invest directly in a Mutual Fund either offline or online, if your KYC is complete. If you are uncomfortable transacting online, you can invest in a fund by visiting its nearest branch.

Online is the most convenient way to invest directly in Mutual Fund schemes and you get to save on commissions as well. You can invest online through a fund’s website or its RTA’s site or a fintech platform Investing directly on a fund’s website requires you to manage multiple logins.

Investing in a Direct Plan means you take responsibility of creating a financial plan, choosing funds most appropriate for your goals, monitoring the portfolio regularly to rebalance it if needed. Not everyone has enough knowledge on Mutual Funds to choose the right funds and manage the portfolio. Hence Direct Plan is meant for investors who can handle this with ease. Otherwise, investing through a distributor is advisable for those with insufficient Mutual Funds knowledge.",More about Mutual Fund
Why should one invest in Mutual Funds?,"One should never invest in Mutual Funds, but should invest through them.

To elaborate, we invest in various investment avenues based on our requirements, e.g. for capital growth - we invest in equity shares, for safety of capital and regular income - we buy fixed income products.

The concern for most investors is: how to know which instruments are best for them? One may not have enough abilities, time or interest to conduct the research.

To manage investments, one can outsource certain tasks one is unable to do. Anyone can outsource ‘managing one’s investments’ to a professional firm – the Mutual Fund company. Mutual Funds offer various avenues to fulfill different objectives, which investors can choose from based on one’s unique situation and objective.

Mutual Fund companies manage all administrative activities including paperwork. They also facilitate accounting and reporting the progress of the investment portfolios through a combination of Net Asset Values (NAVs) and the account statements.

Mutual Fund is a great convenience for those who need to invest their money for future requirements. A team of professionals manages the money and the investors can enjoy the fruits of this expertise without getting involved in the mundane tasks.",More about Mutual Fund
At what age should one start investing?,"If you are wondering is it too early or late to invest in Mutual Funds, rest assured that the right age to start investing is in fact now, the moment you decide to invest. But the sooner you start investing, the better will it be for you since mutual funds help in creating wealth over the long-term through power of compounding. 

For power of compounding to work its magic on your investments, you must start early in your career. In fact, the ideal time to get into Mutual Funds would be the day you start earning. If you can save a little from your monthly earnings and invest it in Mutual Funds through SIP, you are giving your money long enough time to grow. You’ll be able to reap the benefits of such a disciplined investment approach in the future when the need arises. Remember to invest in those mutual fund schemes with risk levels that match your risk appetite i.e. your ability and willingness to take that kind of risk.

As we progress through life, our life goals grow bigger with growing salaries. Start your investment journey through a SIP with your first salary and increase it with every pay hike in order to meet these goals comfortably. But even if you haven’t started yet, it is never too late to start your Mutual Fund journey today because the power of compounding can still give you something more than if you delay the decision by a few years from now. ",More about Mutual Fund
Long Term and Short Term Investment Plans for Your choice,"Are Mutual Funds ideal for short term or long term Investment?

“Mutual Funds could be a good saving tool for short term.”

“You must be patient with your Mutual Fund investments. It takes time to deliver results.”

People regularly come across both the above statements, which are clearly contradictory.

So what period are Mutual Funds suitable for? Short term or long term?

Well, that depends on what one’s investment goals are, and most goals are driven by time. There are schemes suitable for short periods, there are several schemes suitable for longer horizon, and then, there are schemes for any period in-between.

Consult your Mutual Fund distributor or your investment advisor, discuss your financial goals, and then decide where you want to invest. For example;
1. Equity-oriented Mutual Funds- Look for longer periods, typically 5 years and above.
2. Fixed Income oriented Mutual Funds-
    1. Liquid Funds - For very short term – Less than 1 year
    2. Short Term Bond Funds – For the medium term – 1 to 3 years.
    3. Long Term Bond Funds - For the long term – 3 years or more

As you explore our website, you will know more about the various kinds of Mutual Funds too. Your mutual fund distributor/investment advisor can also help you identify the right type of MF to invest in as per your goals!",More about Mutual Fund
Money doesn’t get locked up. It gets invested!,"In Mutual Funds, money doesn’t get locked up. It gets invested!

When investing in Mutual Funds, one of the most common questions is, ‘Does my money get locked up?’

It is important to note two facts:

a. In a Mutual Fund scheme, the money is Invested and not Locked, and the money always stays yours. It is simply being managed by a professional fund manager.

b. Your money is always easily accessible. The structure of a Mutual Fund ensures that there is flexibility in accessing it. You may redeem your investment either partially or entirely. You can even pre-specify the redemption dates, by giving standing instructions to the Mutual Fund company to transfer a fixed amount into your bank account on a specified date every month or every quarter, as you choose. You can also choose to transfer your investment from one Mutual Fund scheme to another managed by the same Mutual Fund company. And you always get a comprehensive /easy to understand account statement that neatly documents it.

Go ahead and invest in a Mutual Fund scheme of your choice and enjoy the flexibility, transparency and liquidity. In other words, a superior investing experience, while being in the care of professional managers.",More about Mutual Fund
Have Mutual Funds been around for a long time?,"Collective and pooled investments have existed in various traditional formats across the world for some time. Mutual Fund as we know it came into existence in 1924, with the creation of Massachusetts Investors Trust.

The Mutual Fund industry growth was accompanied by three broad trends:

Impressive growth in assets under management as more investors embraced Mutual Funds.
Stricter regulation that ensured investor protection and proper supervision of the Fund Management industry.
Introduction of more innovative products that suited the needs of different customers; from long-term retirement planning to short-term cash management.
Mutual Funds have been in existence in India since the Unit Trust of India (UTI) was established in 1963. UTI was set up by the Government of India and the Reserve Bank of India. Unit Scheme 64, launched in 1964 was the first Mutual Fund scheme.

In 1987, other public sector banks and institutions were permitted to launch Mutual Funds. In 1993, following a wave of liberalization, the private sector and foreign sponsors were allowed to launch Mutual Funds.

This ensured that the Mutual Fund Industry rapidly acquired size, expertise, and reach. As of 31st March 2022, Mutual Funds in India managed assets exceeding 37.7 lakh crore.
Source: AMFI, Industry Research / Note: FY22 AUM is as of Mar-22",More about Mutual Fund
Why invest in gold mutual funds when we can invest in gold ETF?,"A Gold ETF is an exchange-traded fund (ETF) that aims to track the domestic physical gold price. They are passive investment instruments that are based on gold prices and invest in gold bullion. In India, Gold is usually held in ornament form, which has a certain making and wastage component (usually more than 10% of bill value). This is eliminated when investing in a Gold Fund.

Buying gold ETFs means you are purchasing gold in an electronic form. You can buy and sell gold ETFs just as you would trade in stocks. When you actually redeem Gold ETF, you don’t get physical gold but receive the cash equivalent. Trading of gold ETFs takes place through a dematerialized account (Demat) and a broker, which makes it an extremely convenient way of electronically investing in gold.

Because of its direct gold pricing, there is complete transparency on the holdings of a Gold ETF. Further due to its unique structure and creation mechanism, the ETFs have much lower expenses as compared to physical gold investments.",More about Mutual Fund
Why invest through Mutual Funds & not directly in stocks or bonds?,"Yes, it is “through” Mutual Funds and not “in” Mutual Funds. What is the difference?

You may indulge in buying and selling stocks and bonds once in a while, but taking help from Mutual Funds to manage your investments may be a much better idea.

When you invest through Mutual Funds, you invest in stocks, bonds or other investments indirectly with the help of professional managers. Instead of doing the tasks yourself, you pay a small fee and avail the services of a fund management company. These services include not just research, selection and buying-selling of various investments, for which a fund manager is well qualified, but also the accounting and administrative activities related to the task of investing, which many may not like to do themselves.",More about Mutual Fund
Are there particular funds that help create wealth over the long term?,"What is wealth? What purpose does it serve?

Many answer these questions as “living a life of one’s dreams”, or “not having to worry about money”, or “having financial freedom”. Being wealthy means having enough money to spend for one’s responsibilities and dreams.

However, for all the long term expenses, one must never forget one major factor – “Inflation”. As the name suggests, inflation is a phenomena that inflates the cost that you will incur to fulfil your life goal when the time arrives to fulfil it.  

Diversified equity funds offer the opportunity to create wealth over the long term at reasonable levels of risk. The risk associated with equities gets controlled with equity Mutual Funds due to three factors

The expertise of the professional fund manager who manages the fund
Diversification of risks due to the investments made in a basket of securities
Investing for the long term which lowers the impact of short term volatility  
Although it’s true that equities as an asset class offer investors the opportunity to create wealth, it is important to keep in mind that equities as an asset class is volatile over shorter time frames. Therefore, you need to invest for the long term.",More about Mutual Fund
Won’t I need a large amount to invest in Mutual Funds?,"People think that Mutual Funds are elite investments made only for the wealthy. The fact is: one does not need large sum to invest in Mutual Funds, you can start with a sum as low as ₹ 500, or 5000 depending on the kind of fund you choose.

Why keep the minimum amounts as low as these?

The economies of scale can be understood easily if we look at travelling by an airplane. The plane would cost a lot of money and, of course, not everybody owns a plane! However, we can afford air travel simply because all the costs are divided among all the passengers using the services at various different points of time.

Similarly, a person may not have enough money to create a diversified portfolio through investment in a very large number of investment avenues, one may not have enough money required to conduct or purchase research on investments. However, the economies of scale allow small investors to get multiple benefits through Mutual Funds.

Mutual Funds are thus ideal vehicles for small investors for saving and investing.",More about Mutual Fund
₹ 500 se toh sirf shuruwaat hai,"You can start investing in Mutual Funds with just ₹ 500 a month!

People feel that to earn meaningful returns, large sums must be invested in Mutual Funds. Well, you can start by investing as little as ₹ 500 per month and gradually increase your investment as your income rises.

Check out the table below to understand how your investments can grow at different rate of returns.

Investment

*This is strictly as an example. The returns shown in the table are purely hypothetical and for illustration purpose only. Mutual Funds do not offer any assured rate of return.

Mutual Funds are meant for everyone from the Aam Aadmi to the Bada Aadmi (a common man to high net worth individual). There are three mantras to help the small saver aim for a larger goal:

a.      Start early - even with a small amount

b.      Invest regularly - no matter how small the amount

c.       Stay invested for a long term - to give your investments the opportunity to grow

Mutual Funds have evolved to suit every kind of investor over time. Even if the investment amount is low, regular investments and a disciplined approach can help you build a large corpus over time.",INR ₹ 500 se toh sirf shuruwaat hai
Can NRIs invest in Mutual Funds in India?,"Yes, Non Resident Indians (NRI) and Persons of Indian Origin (PIO) can invest in Indian Mutual Funds on a full repatriation as well as non-repatriation basis.

However, NRIs would have to comply with all regulatory requirements such as completion of KYC before investing. It should however be noted that a few countries such as US and Canada have restricted investments by NRIs in Mutual Funds without relevant disclosures. NRIs from these countries, thus need to check once with their financial expert on the feasibility of investing in Indian funds before actually investing.

NRIs are provided most of the benefits and conveniences of resident Indian investors while investing. They can invest through SIPs, they can switch as per their convenience, they can opt for growth or dividend options and can repatriate the redemption proceeds whenever they want to.

Thus NRIs and PIOs can invest and enjoy the full benefit of investing in a wide variety of Indian Mutual Fund schemes.",INR ₹ 500 se toh sirf shuruwaat hai
How do I withdraw my money from Mutual Funds?,"One of the biggest advantages of Mutual Funds is liquidity – the ease of converting an investor’s units into cash.

Mutual Funds, being regulated by Securities and Exchange Board of India (SEBI), have well laid out norms to ensure liquidity. Open end schemes, which comprise of a large majority of schemes, offer liquidity as a major feature. Liquidity is ease of access or conversion of an asset into cash.

Once the redemption is complete, funds are transferred to the designated bank account of the investor, within 3 business days after the redemption was lodged.

However two issues need to be kept in mind. One, there may be an exit load period in certain schemes. In such cases, redemptions before a certain specified period, say 3 months, may attract a nominal load like 0.5% of Asset Value. Fund Managers impose such loads to deter short term investors. Secondly, AMCs may indicate what the minimum amount for redemption is. Investors are advised to read all scheme related documents carefully before investing. ",INR ₹ 500 se toh sirf shuruwaat hai
What is the ideal amount to start investing in a Mutual Fund?,"Several questions rest in a potential investor’s mind regarding the ideal amount to invest. People consider Mutual Funds as just another investment avenue. Is it really the case? Is a Mutual Fund just another investment avenue like a fixed deposit, debenture or shares of companies?

A Mutual Fund is not an investment avenue, but a vehicle to access various investment avenues.

Think of it this way. When you go to a restaurant, you have a choice to order a la carte or buffet/thali or a full meal.

Compare the full thali or the meal with a Mutual Fund, whereas individual items you order are the stocks, bonds, etc. A thali makes the choice easy, saves time and also some money.

The important thing is to start investment early, even if small, and gradually add on to your investments as your earnings increase. This gives you better prospects of better returns in the long run.",INR ₹ 500 se toh sirf shuruwaat hai
Are Mutual Funds an ideal investment for the small investor?,"Yes! Even for an investor with modest savings or small beginnings, Mutual Funds are an ideal investment vehicle.
Almost every individual investor, small or big, having has a Savings Bank (SB) account and anyone with that account can start investing in Mutual Fund schemes. With amounts as low as ₹ 500* every month, Mutual Funds promote the habit of regular investing.

Other benefits for a small investor in Mutual Funds are-

Ease of transacting: Investing, reviewing, managing and redeeming^ from a Mutual Fund scheme are all simple processes.
Get full transparency: Maximum transparency, clear disclosures, and timely statements of accounts are all that a small or first time investor looks out for.
Professionally managed: You can build a diversified portfolio that is professionally managed by Fund Managers, who back their decisions with thorough research.
Every investor is equal: A Mutual Fund gives the same investment performance to an investor who has invested ₹500 or one who has invested ₹5 crore. Thus, it has every investor’s interests in mind – small or big.
Liquidity: Unlike investment options like real estate, it is very easy to redeem Mutual Fund investments when in need. You can redeem the MFs with the Fund house directly or sell in the secondary market.
Every investment comes with its risk. Mutual Funds too involve investment risks like trading volumes, liquidity risk, etc. But they also offer a wide array of benefits to small investors. 

No matter how small the starting amount or modest the objectives, Mutual Funds Sahi Hai.

Mutual Fund investments are subject to market risks, read all scheme related documents carefully. 

*Minimum investment amount: A lot of MFs allow a minimum SIP of Rs 500. However, some schemes may need a higher amount during the investment application.
^Lock-in period: Mutual Funds can have a lock-in period. Investors can redeem their investments only after the lock-in period ends. ",INR ₹ 500 se toh sirf shuruwaat hai
"Can I start with ₹ 500, and keep adding?","The popular investment concept for creating wealth is ‘Start Early. Invest Regularly. Stay invested for Long Term’. Even if the investment is as low as ₹ 500, it is important as it marks the beginning of a journey.

There are several ways to increase investments amounts as you go. In a mutual fund scheme, you can always make additional purchases in the same fund/account. In many fund houses, this can be for amounts as low as ₹ 100 or money can be transferred or switched in from other schemes. You can start a Systematic Investment Plan (SIP), which enables a regular investment into a scheme, much like a bank recurring deposit. Also, many AMCs allow their investors to increase their SIP contribution gradually every year, so as to account for an annual salary or income rise.

Mutual Funds, with their flexibility and convenience are the ideal investment vehicles in today’s busy world.",INR ₹ 500 se toh sirf shuruwaat hai
